District,Zone,Geographical Region,Development Region,Year BS,Year AD,Number of Voters
Dhanusa,Janakpur,Terai,Central,2061,2004,396625
Dhanusa,Janakpur,Terai,Central,2062,2005,396292
Dhanusa,Janakpur,Terai,Central,2063,2006,463225
Mahottari,Janakpur,Terai,Central,2047,1990,249604
Mahottari,Janakpur,Terai,Central,2050,1993,272131
Mahottari,Janakpur,Terai,Central,2056,1999,305716
Mahottari,Janakpur,Terai,Central,2057,2000,326502
Mahottari,Janakpur,Terai,Central,2058,2001,337761
Mahottari,Janakpur,Terai,Central,2059,2002,339320
Mahottari,Janakpur,Terai,Central,2060,2003,343852
Mahottari,Janakpur,Terai,Central,2061,2004,344584
Mahottari,Janakpur,Terai,Central,2062,2005,344103
Mahottari,Janakpur,Terai,Central,2063,2006,394473
Sarlahi,Janakpur,Terai,Central,2047,1990,280045
Sarlahi,Janakpur,Terai,Central,2050,1993,315220
Sarlahi,Janakpur,Terai,Central,2056,1999,366479
Sarlahi,Janakpur,Terai,Central,2057,2000,391260
Sarlahi,Janakpur,Terai,Central,2058,2001,408548
Sarlahi,Janakpur,Terai,Central,2059,2002,411049
Sarlahi,Janakpur,Terai,Central,2060,2003,424093
Sarlahi,Janakpur,Terai,Central,2061,2004,419642
Sarlahi,Janakpur,Terai,Central,2062,2005,418221
Sarlahi,Janakpur,Terai,Central,2063,2006,471489
Rasuwa,Bagmati,Mountain,Central,2047,1990,22170
Rasuwa,Bagmati,Mountain,Central,2050,1993,22975
Rasuwa,Bagmati,Mountain,Central,2056,1999,25880
Rasuwa,Bagmati,Mountain,Central,2057,2000,27975
Rasuwa,Bagmati,Mountain,Central,2058,2001,28418
Rasuwa,Bagmati,Mountain,Central,2059,2002,28607
Rasuwa,Bagmati,Mountain,Central,2060,2003,28943
Rasuwa,Bagmati,Mountain,Central,2061,2004,29101
Rasuwa,Bagmati,Mountain,Central,2062,2005,29877
Rasuwa,Bagmati,Mountain,Central,2063,2006,32442
Dhading,Bagmati,Hill,Central,2047,1990,176487
Dhading,Bagmati,Hill,Central,2050,1993,190561
Dhading,Bagmati,Hill,Central,2056,1999,221158
Dhading,Bagmati,Hill,Central,2057,2000,236543
Dhading,Bagmati,Hill,Central,2058,2001,239598
Dhading,Bagmati,Hill,Central,2059,2002,241322
Dhading,Bagmati,Hill,Central,2060,2003,243467
Dhading,Bagmati,Hill,Central,2061,2004,244026
Dhading,Bagmati,Hill,Central,2062,2005,247469
Dhading,Bagmati,Hill,Central,2063,2006,276259
Nuwakot,Bagmati,Hill,Central,2047,1990,153799
Nuwakot,Bagmati,Hill,Central,2050,1993,170665
Nuwakot,Bagmati,Hill,Central,2056,1999,193518
Nuwakot,Bagmati,Hill,Central,2057,2000,210390
Nuwakot,Bagmati,Hill,Central,2058,2001,212264
Nuwakot,Bagmati,Hill,Central,2059,2002,213736
Nuwakot,Bagmati,Hill,Central,2060,2003,214875
Nuwakot,Bagmati,Hill,Central,2061,2004,214977
Nuwakot,Bagmati,Hill,Central,2062,2005,215781
Nuwakot,Bagmati,Hill,Central,2063,2006,247215
Kathmandu,Bagmati,Hill,Central,2047,1990,430095
Kathmandu,Bagmati,Hill,Central,2050,1993,486726
Kathmandu,Bagmati,Hill,Central,2056,1999,468646
Kathmandu,Bagmati,Hill,Central,2057,2000,504662
Kathmandu,Bagmati,Hill,Central,2058,2001,506450
Kathmandu,Bagmati,Hill,Central,2059,2002,509926
Kathmandu,Bagmati,Hill,Central,2060,2003,512210
Kathmandu,Bagmati,Hill,Central,2061,2004,511564
Kathmandu,Bagmati,Hill,Central,2062,2005,512884
Kathmandu,Bagmati,Hill,Central,2063,2006,596495
Bhaktapur,Bagmati,Hill,Central,2047,1990,113935
Bhaktapur,Bagmati,Hill,Central,2050,1993,118340
Bhaktapur,Bagmati,Hill,Central,2056,1999,128106
Bhaktapur,Bagmati,Hill,Central,2057,2000,134986
Bhaktapur,Bagmati,Hill,Central,2058,2001,137797
Bhaktapur,Bagmati,Hill,Central,2059,2002,140263
Bhaktapur,Bagmati,Hill,Central,2060,2003,141947
Bhaktapur,Bagmati,Hill,Central,2061,2004,141507
Bhaktapur,Bagmati,Hill,Central,2062,2005,141725
Bhaktapur,Bagmati,Hill,Central,2063,2006,159464
Lalitpur,Bagmati,Hill,Central,2047,1990,164895
Lalitpur,Bagmati,Hill,Central,2050,1993,185352
